#start_time(samples),start_time(iso),end_time(samples),end_time(iso),current_mean(A),current_min(A),current_max(A),voltage_mean(V),voltage_min(V),voltage_max(V),power_mean(W),power_min(W),power_max(W),charge(C),charge(Ah),energy(J),energy(Wh)
1425502989,2023-01-18T13:13:20.502529,1470992750,2023-01-18T13:13:43.252372,0.00737903,0.00354523,0.0114484,3.27833,3.26259,3.29437,0.0241898,0.0116592,0.0373905,0.167835,4.66209e-05,0.550195,0.000152832
1471000770,2023-01-18T13:13:43.253336,1471012011,2023-01-18T13:13:43.256966,0.00948053,0.00912326,0.00987738,3.27133,3.26826,3.27508,0.0310139,0.0298483,0.0322931,5.32758e-05,1.47988e-08,0.000174283,4.84119e-08
1481118519,2023-01-18T13:13:48.273333,1527659068,2023-01-18T13:14:11.623469,0.0073686,0.0035572,0.0114305,3.27842,3.26259,3.29324,0.0241563,0.0117026,0.0373449,0.171469,4.76304e-05,0.562123,0.000156145
1527666877,2023-01-18T13:14:11.632292,1527678116,2023-01-18T13:14:11.635414,0.00948579,0.00910232,0.00994022,3.27198,3.26826,3.27621,0.0310373,0.0297901,0.0325098,5.32959e-05,1.48044e-08,0.000174383,4.84398e-08
1537866074,2023-01-18T13:14:16.646872,1591328144,2023-01-18T13:14:43.442858,0.00738675,0.00353924,0.0114455,3.27838,3.26259,3.29324,0.0242155,0.0116435,0.0373938,0.197456,5.48488e-05,0.647306,0.000179807
1591336038,2023-01-18T13:14:43.450621,1591349141,2023-01-18T13:14:43.454535,0.00947775,0.00903648,0.00995518,3.27187,3.26826,3.27508,0.03101,0.0295746,0.0325588,6.2084e-05,1.72456e-08,0.000203131,5.64252e-08
1601565571,2023-01-18T13:14:48.485440,1655598064,2023-01-18T13:15:15.567890,0.00737693,0.00354223,0.0114335,3.2784,3.26145,3.29324,0.0241834,0.0116654,0.0373417,0.199297,5.53603e-05,0.653345,0.000181485
1655605868,2023-01-18T13:15:15.569167,1655618970,2023-01-18T13:15:15.570719,0.00947816,0.00924596,0.0100001,3.27191,3.26826,3.27508,0.0310117,0.0302497,0.0327283,6.20819e-05,1.7245e-08,0.000203127,5.64241e-08
1665765325,2023-01-18T13:15:20.584045,1719137671,2023-01-18T13:15:47.258102,0.00738313,0.0035542,0.0114245,3.27846,3.26145,3.29437,0.0242042,0.0116968,0.0373124,0.197027,5.47298e-05,0.645917,0.000179421
1719145623,2023-01-18T13:15:47.258458,1719158726,2023-01-18T13:15:47.259061,0.00947612,0.00906641,0.00991927,3.272,3.26826,3.27621,0.0310059,0.0296726,0.0324638,6.20733e-05,1.72426e-08,0.000203104,5.64177e-08
1729296819,2023-01-18T13:15:52.373630,1784387786,2023-01-18T13:16:19.965007,0.00736642,0.00353326,0.0114365,3.27852,3.26259,3.29437,0.0241499,0.0116238,0.0373385,0.202912,5.63644e-05,0.66522,0.000184783
1784395694,2023-01-18T13:16:19.966973,1784408800,2023-01-18T13:16:19.969298,0.00950415,0.00902451,0.00994321,3.27144,3.26713,3.27508,0.0310922,0.0295252,0.0325309,6.22712e-05,1.72976e-08,0.000203716,5.65879e-08
1794612771,2023-01-18T13:16:25.011939,1848960050,2023-01-18T13:16:52.175532,0.00737959,0.00350632,0.0114365,3.27836,3.26259,3.29324,0.0241919,0.0115432,0.0373515,0.20053,5.57029e-05,0.657381,0.000182606
1848968152,2023-01-18T13:16:52.284220,1848981254,2023-01-18T13:16:52.286309,0.00948026,0.00901254,0.0099492,3.2717,3.26826,3.27508,0.0310165,0.0294963,0.0325294,6.20957e-05,1.72488e-08,0.000203158,5.64329e-08
1859153585,2023-01-18T13:16:57.311522,1913032813,2023-01-18T13:17:24.270054,0.00738577,0.00352129,0.0114275,3.27857,3.26145,3.29437,0.0242137,0.0115804,0.0373221,0.19897,5.52694e-05,0.652307,0.000181196
1913040570,2023-01-18T13:17:24.271241,1913053667,2023-01-18T13:17:24.272344,0.00948761,0.00924596,0.0100001,3.27188,3.26826,3.27508,0.0310423,0.0302497,0.0327169,6.21201e-05,1.72556e-08,0.000203249,5.64582e-08
1923306115,2023-01-18T13:17:29.399376,1977473814,2023-01-18T13:17:56.461435,0.00738077,0.00355121,0.0114544,3.27858,3.26145,3.29437,0.0241974,0.0116829,0.0374231,0.1999,5.55277e-05,0.655358,0.000182044
1977481778,2023-01-18T13:17:56.462330,1977494874,2023-01-18T13:17:56.463703,0.00948427,0.00923698,0.010009,3.27194,3.26826,3.27621,0.031032,0.0302203,0.0327122,6.20935e-05,1.72482e-08,0.000203166,5.64351e-08
